PLAYER_ID,PLAYER_NAME,TimeFrame,PTS,AST,REB
76745,Jerry Fowler,career,1.5,0.3,1.7
1762,Tremaine Fowlkes,career,2.9,0.5,2.2
1628368,De'Aaron Fox,2024-25,23.5,6.3,4.8
76746,Harold Fox,career,3.1,1.0,0.8
76747,Jim Fox,career,9.3,1.6,7.4
296,Rick Fox,career,9.6,2.8,3.8
200751,Randy Foye,career,10.3,2.8,2.2
1502,Adonal Foyle,career,4.1,0.5,4.7
2499,Richie Frahm,career,3.6,0.6,1.2
1883,Steve Francis,career,18.1,6.0,5.6
76748,Tellis Frank,career,6.5,1.0,3.9
76749,Nat Frankel,career,2.7,0.5,
203479,Jamaal Franklin,career,1.8,0.4,1.0
1629606,Robert Franks,career,6.1,0.7,2.0
204025,Tim Frazier,career,4.9,4.0,2.3
76750,Walt Frazier,career,18.9,6.1,5.9
76751,Will Frazier,career,0.5,0.5,2.5
1626187,Michael Frazier II,career,2.1,0.2,0.8
1628982,Melvin Frazier Jr.,career,2.7,0.2,0.9
76752,Anthony Frederick,career,4.9,0.9,1.9
202690,Jimmer Fredette,career,6.0,1.4,1.0
76753,World Free,career,20.3,3.7,2.7
202683,Enes Freedom,career,11.2,0.9,7.8
200777,Joel Freeland,career,3.2,0.4,3.4
76754,Donnie Freeman,career,10.8,2.7,2.8
1642402,Enrique Freeman,2024-25,2.1,0.4,1.4
76755,Gary Freeman,career,3.2,0.7,2.0
76756,Rod Freeman,career,3.0,0.4,1.5
1631241,Javon Freeman-Liberty,career,7.0,1.8,3.2
2782,Matt Freije,career,3.2,0.6,2.0
76757,Frido Frey,career,3.8,0.6,
76758,Larry Friend,career,4.0,1.1,2.4
76759,Pat Frink,career,2.6,1.1,0.9
76760,Jim Fritsche,career,3.9,0.9,3.0
101112,Channing Frye,career,8.7,1.0,4.5
76761,Bernie Fryer,career,6.2,3.0,1.8
76762,Frank Fucarino,career,5.0,0.3,
1641788,Alex Fudge,career,2.5,0.0,0.8
76763,Herm Fuetsch,career,2.6,0.4,
76764,Joe Fulks,career,16.4,1.2,5.3
2673,Hiram Fuller,career,2.0,0.5,2.8
957,Todd Fuller,career,3.7,0.2,3.0
76765,Tony Fuller,career,4.0,1.9,2.8
1628365,Markelle Fultz,career,10.4,4.4,3.2
1444,Lawrence Funderburke,career,6.4,0.6,3.6
1641847,Andrew Funk,career,0.0,0.0,0.0
76767,Terry Furlow,career,10.7,2.4,2.1
1642277,Johnny Furphy,2024-25,2.1,0.4,1.4
76768,Billy Gabor,career,9.8,2.0,1.8
1629117,Wenyen Gabriel,career,4.4,0.5,3.4
2429,Dan Gadzuric,career,4.7,0.4,4.4
1629655,Daniel Gafford,2024-25,12.3,1.4,6.8
101184,Deng Gai,career,0.0,0.0,0.0
76769,Elmer R. Gainer,career,1.5,0.5,
76770,Corey Gaines,career,3.1,3.1,0.9
2558,Reece Gaines,career,1.7,0.7,0.7
202178,Sundiata Gaines,career,4.5,1.8,1.5
76771,Mike Gale,career,7.4,4.3,2.5
76772,Chad Gallagher,career,3.0,0.0,0.0
76773,Harry Gallatin,career,13.0,1.8,11.9
201568,Danilo Gallinari,career,14.9,1.9,4.7
204038,Langston Galloway,career,8.1,1.6,2.4
76774,Dave Gambee,career,10.6,1.0,5.2
333,Kevin Gamble,career,9.5,2.0,2.2
76776,Bob Gantt,career,3.1,0.2,
200816,Jorge Garbajosa,career,8.0,1.7,4.7
2092,Ruben Garces,career,1.2,0.4,2.2
2682,Alex Garcia,career,4.7,1.8,1.5
101128,Francisco Garcia,career,7.9,1.4,2.6
76778,Earl Gardner,career,1.8,0.4,
201242,Thomas Gardner,career,2.3,0.2,0.6
76779,Vern Gardner,career,8.9,1.6,4.0
76780,Jack Garfinkel,career,5.2,1.5,
1627868,Patricio Garino,career,0.0,0.0,1.4
1629636,Darius Garland,2024-25,20.6,6.7,2.9
76781,Gary Garland,career,4.3,1.9,1.8
76782,Winston Garland,career,9.4,4.7,2.8
76783,Dick Garmaker,career,13.3,2.6,4.2
1612,Chris Garner,career,1.6,1.4,0.8
76785,Bill Garnett,career,5.5,1.3,4.3
708,Kevin Garnett,career,17.8,3.7,10.0
1831,Marlon Garnett,career,2.1,0.8,0.9
1628656,Billy Garrett,career,6.5,1.8,0.8
76786,Calvin Garrett,career,5.2,1.5,2.6
1051,Dean Garrett,career,4.8,0.6,5.0
203197,Diante Garrett,career,3.2,1.7,1.2
76788,Eldo Garrett,career,10.3,2.5,3.0
1630585,Marcus Garrett,career,2.6,1.3,1.8
76789,Rowland Garrett,career,5.1,0.4,2.3
76790,Tom Garrick,career,5.4,3.4,2.0
76791,John Garris,career,4.0,0.3,2.3
1619,Kiwane Garris,career,2.3,1.0,0.6
1727,Pat Garrity,career,7.3,0.8,2.6
